"year", "month", "day", "hour", "minute", "track_id", "start_time", "start_x", "start_y", "duration", "length", "category", "max_surface_wind", "min_sea_level_pressure", "region_id", "region_name", "region_long_name"
1990, 8, 8, 3, 0, 41, 4234.12, 311.565, 17.1329, 9.25, 287113, 4, 67.9869, 92619.1, 4, "NA", "N Atlantic"
1990, 8, 10, 15, 0, 42, 4236.62, 149.252, 21.8076, 10.75, 247969, 4, 64.1824, 93593.5, 2, "NWP", "NW Pacific"
1990, 8, 11, 6, 0, 43, 4237.25, 85.7375, -5.54391, 11.875, 272351, 0, 31.119, 99216.4, 0, "SI", "S Indian"
1990, 8, 14, 6, 0, 44, 4240.25, 306.078, 14.4278, 6.25, 230234, 4, 66.6584, 93071.6, 4, "NA", "N Atlantic"
1990, 8, 15, 18, 0, 45, 4241.75, 253.933, 17.5356, 21.75, 458466, 3, 55.6331, 95946.5, 5, "NEP", "NE Pacific"
1990, 8, 16, 15, 0, 46, 4242.62, 89.7042, -6.24712, 10.75, 197332, 1, 35.0438, 99262.7, 0, "SI", "S Indian"
1990, 8, 23, 9, 0, 47, 4249.38, 85.4292, -7.68167, 11.25, 159028, 1, 38.7295, 98477.5, 0, "SI", "S Indian"
1990, 8, 24, 3, 0, 48, 4250.12, 132.749, 23.4332, 8.75, 196812, 4, 68.5993, 91213.9, 2, "NWP", "NW Pacific"
1990, 8, 24, 12, 0, 49, 4250.5, 258.791, 14.8467, 8.125, 120731, 1, 42.4101, 97160.9, 5, "NEP", "NE Pacific"
1990, 8, 24, 18, 0, 50, 4250.75, 146.224, 18.9098, 9.875, 224497, 3, 53.5958, 96419.7, 2, "NWP", "NW Pacific"
1990, 8, 25, 18, 0, 51, 4251.75, 296.461, 18.5539, 7.25, 245922, 5, 71.6566, 91867.3, 4, "NA", "N Atlantic"
1990, 8, 26, 18, 0, 52, 4252.75, 99.8949, -7.9088, 4.5, 111178, 0, 26.5585, 100041, 0, "SI", "S Indian"
1990, 8, 30, 15, 0, 53, 4256.62, 215.043, 11.0097, 23.625, 548332, 4, 58.1571, 93916, 5, "NEP", "NE Pacific"
1990, 9, 1, 6, 0, 54, 4258.25, 298.717, 19.0418, 12.875, 331598, 3, 55.3299, 94840.9, 4, "NA", "N Atlantic"
1990, 9, 2, 0, 0, 55, 4259, 350.329, 19.4592, 13, 323788, 1, 33.3204, 99263.8, 4, "NA", "N Atlantic"
1990, 9, 3, 15, 0, 56, 4260.62, 307.952, 16.4017, 8.125, 224330, 4, 65.1024, 92225.7, 4, "NA", "N Atlantic"
1990, 9, 4, 15, 0, 57, 4261.62, 246.24, 12.0634, 20.5, 454532, 2, 45.5813, 96929.1, 5, "NEP", "NE Pacific"
1990, 9, 6, 9, 0, 58, 4263.38, 133.081, 22.868, 4.875, 81644.2, 0, 25, 99756.6, 2, "NWP", "NW Pacific"
1990, 9, 14, 12, 0, 59, 4271.5, 80.2738, -8.96105, 8.75, 161851, 0, 29.9607, 99167.9, 0, "SI", "S Indian"
1990, 9, 14, 12, 0, 60, 4271.5, 264.94, 13.6318, 3.375, 89402.4, 1, 40.6211, 98264.3, 5, "NEP", "NE Pacific"
1990, 9, 14, 15, 0, 61, 4271.62, 320.625, 11.8514, 15.125, 356254, 3, 52.2465, 95530.6, 4, "NA", "N Atlantic"
1990, 9, 15, 15, 0, 62, 4272.62, 325.795, 36.5035, 7.625, 123893, 2, 43.9522, 97173.5, 4, "NA", "N Atlantic"
1990, 9, 19, 15, 0, 63, 4276.62, 343.922, 15.3837, 12.75, 429534, 3, 55.4835, 94944.1, 4, "NA", "N Atlantic"
1990, 9, 21, 0, 0, 64, 4278, 206.991, 8.74622, 7.125, 65100.2, 0, 25.5745, 99898.3, 5, "NEP", "NE Pacific"
1990, 9, 23, 15, 0, 65, 4280.62, 343.433, 12.8576, 12.5, 290635, 3, 56.9538, 93998.2, 4, "NA", "N Atlantic"
1990, 9, 27, 0, 0, 66, 4284, 173.159, 29.2096, 7.875, 233708, 2, 44.8161, 97370.9, 2, "NWP", "NW Pacific"
1990, 10, 3, 21, 0, 67, 4290.88, 330.022, 8.53607, 19.125, 309418, 4, 59.7667, 94085.4, 4, "NA", "N Atlantic"
1990, 10, 5, 3, 0, 68, 4292.12, 194.109, 27.8323, 7.875, 236315, 0, 31.6727, 99666.3, 5, "NEP", "NE Pacific"
1990, 10, 5, 21, 0, 69, 4292.88, 74.1495, -7.38277, 5.125, 62928.7, 0, 27.314, 99666.2, 0, "SI", "S Indian"
1990, 10, 11, 3, 0, 70, 4298.12, 255.792, 10.7828, 6, 74447.8, 2, 48.1608, 96755.8, 5, "NEP", "NE Pacific"
1990, 10, 14, 6, 0, 71, 4301.25, 288.497, 24.3254, 6, 225253, 2, 46.5696, 95785.3, 4, "NA", "N Atlantic"
1990, 10, 17, 3, 0, 72, 4304.12, 209.148, 10.659, 6.25, 48919, 0, 26.9419, 99627.8, 5, "NEP", "NE Pacific"
1990, 10, 21, 0, 0, 73, 4308, 169.689, 15.5153, 8.25, 159416, 0, 32.0233, 99093, 2, "NWP", "NW Pacific"
1990, 10, 25, 9, 0, 74, 4312.38, 258.399, 13.276, 4.75, 46909.2, 1, 39.9242, 98042.9, 5, "NEP", "NE Pacific"
1990, 11, 2, 0, 0, 75, 4320, 204.997, 8.57631, 15, 280041, 1, 36.9935, 98247.1, 5, "NEP", "NE Pacific"
1990, 11, 2, 9, 0, 76, 4320.38, 219.76, 9.03464, 6.625, 116279, 0, 26.5551, 100005, 5, "NEP", "NE Pacific"
